escenario,idx_caso,variable,peso_medio,peso_std,peso_min,peso_max,k_reejecuciones,nombre_legible
coste10,976,MonthlyIncome,-0.00820176095920701,0.0006055625589049341,-0.008979017507039036,-0.00727852291118791,6,Ingreso mensual
coste10,17133,es_centinela_pastdue,-0.10446778646366302,0.0335310902356974,-0.1643647635022604,-0.062035550088892916,6,Centinela mora (flag)
coste10,17133,NumberOfTimes90DaysLate,-0.1751708499778685,0.010557322048517125,-0.19346419423402048,-0.16145778898318547,6,N. impagos 90+ dias
coste10,17133,NumberOfTime60-89DaysPastDueNotWorse,-0.07290608514924778,0.00967401466454374,-0.09378864392869253,-0.06624044983907576,6,N. moras 60-89 dias
coste10,17133,NumberOfOpenCreditLinesAndLoans,0.021738654387096445,0.003237984947595242,0.017223157334402668,0.02573261479554295,6,N. lineas de credito abiertas
coste10,17133,DebtRatio,0.012534228582750157,0.0026425918151719344,0.008403212882056534,0.015912816027149838,6,Ratio de deuda
coste10,17133,RevolvingUtilizationOfUnsecuredLines,0.07488296124906348,0.0019408083453498885,0.07181482988925297,0.07721463323913061,6,Utilizacion de credito revolving
coste10,17133,NumberOfDependents,0.0032475742466462816,0.0015659510146188223,0.0016177023832147927,0.005655091269918734,6,N. dependientes
coste10,17133,MonthlyIncome,-0.004578108595592711,0.0014740740900489203,-0.006954191940453526,-0.002686672463214734,6,Ingreso mensual
coste10,17133,NumberOfTime30-59DaysPastDueNotWorse,0.053380935654693235,0.0014415607280272257,0.0513833627333176,0.05523532411460538,6,N. moras 30-59 dias
coste10,17133,NumberRealEstateLoansOrLines,0.0014674677278083362,0.0013261236902096232,7.055559469273693e-05,0.004242590145316329,6,N. hipotecas/lineas inmob.
coste10,17133,is_missing_monthlyincome,-0.0012602847646502825,0.0010882615899327442,-0.0024150650889554703,0.0007558560716543871,6,Ingreso ausente (flag)
coste10,17133,age,0.005859548093309255,0.0005709268305698625,0.005112979800161895,0.006564336074563936,6,Edad
coste10,14834,es_centinela_pastdue,-0.09603055417103905,0.029723482692312845,-0.14881286810641567,-0.06331545591418238,6,Centinela mora (flag)
coste10,14834,NumberOfTimes90DaysLate,-0.1741083339655661,0.010553445579897444,-0.19141890970280528,-0.1599861916063928,6,N. impagos 90+ dias
coste10,14834,NumberOfTime60-89DaysPastDueNotWorse,0.07274714385406851,0.00976827763247556,0.06512115619281669,0.09287235707875888,6,N. moras 60-89 dias
coste10,14834,NumberOfOpenCreditLinesAndLoans,0.020306884895559096,0.003554144031950485,0.014917647719889812,0.024212767115988194,6,N. lineas de credito abiertas
coste10,14834,RevolvingUtilizationOfUnsecuredLines,-0.03302303807674162,0.0020431957233431673,-0.03684094929711937,-0.03042959521613991,6,Utilizacion de credito revolving
coste10,14834,NumberOfDependents,0.003193577842154754,0.0020036639323159433,0.001043110019611021,0.006588361655613451,6,N. dependientes
coste10,14834,is_missing_monthlyincome,0.0016532073426069286,0.0016548147485176273,-0.0005862058765425159,0.0044577090511331895,6,Ingreso ausente (flag)
coste10,14834,NumberRealEstateLoansOrLines,0.0018713316774806215,0.0016013659313648789,-0.00041104730889557323,0.004747980677442507,6,N. hipotecas/lineas inmob.
coste10,14834,DebtRatio,-0.004972347766168695,0.00154126569986784,-0.007097712335104146,-0.0025420479523980475,6,Ratio de deuda
coste10,14834,age,0.0058313132264444165,0.0013004984261939811,0.003703158107229643,0.00760834785674313,6,Edad
coste10,14834,MonthlyIncome,0.0024386656339475373,0.0012506711938204292,0.001100723440682854,0.004553467454064926,6,Ingreso mensual
coste10,14834,NumberOfTime30-59DaysPastDueNotWorse,0.05185511524692856,0.001226416655591219,0.04947038599332711,0.05301948695648493,6,N. moras 30-59 dias
